name_en,name_ru,description
Emollient,Эмолент,Смягчает и разглаживает кожу
Emulsifier,Эмульгатор,Соединяет масло и воду в единую смесь
Humectant,Гумектант,Притягивает и удерживает влагу
Preservative,Консервант,Предотвращает рост бактерий и плесени
Fragrance,Ароматизатор,Придаёт косметике запах
Antioxidant,Антиоксидант,Защищает кожу и формулу от окисления
Surfactant,ПАВ,Обеспечивает очищение и пенообразование
Solvent,Растворитель,Растворяет другие вещества в формуле
Thickener,Загуститель,Увеличивает вязкость продукта
Stabilizer,Стабилизатор,Поддерживает стабильность формулы
Colorant,Краситель,Придаёт цвет продукту или коже
UV Filter,УФ-фильтр,Защищает кожу от ультрафиолетового излучения
Conditioning Agent,Кондиционирующий агент,Смягчает волосы или кожу
Anti-acne Agent,Антиакне агент,Помогает бороться с акне
Sebum Regulator,Себорегулятор,Регулирует выработку кожного сала
Whitening Agent,Отбеливающий агент,Снижает пигментацию кожи
Film Former,Плёкообразователь,Создаёт защитную плёнку на коже или волосах
Opacifier,Опакователь,Делает продукт менее прозрачным
Pearlescent Agent,Перламутровый агент,Придаёт продукту блеск
Chelating Agent,Хелатообразователь,Связывает ионы металлов
Buffering Agent,Буферный агент,Регулирует pH продукта
Masking Agent,Маскирующий агент,Скрывает нежелательные запахи
Antimicrobial,Антимикробный агент,Подавляет рост микробов
Anti-inflammatory,Противовоспалительный агент,Снижает воспаление
Moisturizer,Увлажнитель,Увлажняет кожу
Soothing Agent,Успокаивающий агент,Снимает раздражение кожи
Astringent,Вяжущее средство,Сужает поры и подсушивает кожу
Exfoliant,Отшелушивающее средство,Удаляет ороговевшие клетки кожи
Keratolytic,Кератолитик,Размягчает и удаляет роговой слой кожи
Warming Agent,Разогревающий агент,Создаёт ощущение тепла
Cooling Agent,Охлаждающий агент,Создаёт ощущение прохлады
Plasticizer,Пластификатор,Повышает эластичность плёнки
Anticaking Agent,Противослеживающий агент,Предотвращает слёживание порошков
Viscosity Controlling,Регулятор вязкости,Изменяет текучесть формулы
Foaming Agent,Пенообразователь,Обеспечивает образование пены
Defoamer,Пеногаситель,Уменьшает образование пены
Absorbent,Абсорбент,Поглощает влагу или жир
Mattifying Agent,Матирующий агент,Придаёт коже матовый вид
Anti-static Agent,Антистатик,Снижает статическое электричество в волосах
Hair Fixative,Фиксатор волос,Закрепляет укладку
Skin Protectant,Защитное средство,Создаёт барьер для кожи
Wound Healing Agent,Заживляющий агент,Способствует заживлению кожи
Antiperspirant,Антиперспирант,Снижает потоотделение
Deodorant Agent,Дезодорант,Устраняет запах пота
Oral Care Agent,Средство для ухода за полостью рта,Используется в зубных пастах и ополаскивателях
Anti-dandruff Agent,Против перхоти,Борется с перхотью
Hair Conditioning Agent,Кондиционер для волос,Смягчает и облегчает расчёсывание
Skin Conditioning Agent,Кондиционер для кожи,Улучшает состояние кожи
UV Absorber,УФ-абсорбент,Поглощает ультрафиолетовые лучи
UV Stabilizer,УФ-стабилизатор,Защищает формулу от разрушения под УФ
Self-tanning Agent,Автозагар,Придаёт коже загар
Depilatory Agent,Депилятор,Удаляет волосы
Hair Dye,Краска для волос,Изменяет цвет волос
Bleaching Agent,Отбеливающий агент,Обесцвечивает волосы или кожу
Fixative,Фиксатор,Закрепляет аромат или укладку
Nail Conditioning Agent,Кондиционер для ногтей,Укрепляет и питает ногти
Sunscreen Agent,Солнцезащитное средство,Защищает кожу от солнца
Tanning Agent,Средство для загара,Ускоряет загар
Lubricant,Смазка,Обеспечивает скольжение
Cleaning Agent,Очищающий агент,Удаляет загрязнения
Peeling Agent,Пилинг,Обеспечивает глубокое очищение кожи
Hair Growth Promoter,Стимулятор роста волос,Ускоряет рост волос
Anti-hair Loss Agent,Против выпадения волос,Снижает выпадение волос
Anti-aging Agent,Антивозрастной агент,Замедляет старение кожи
Brightening Agent,Осветляющий агент,Выравнивает тон кожи
Skin Lightening Agent,Отбеливающий агент кожи,Уменьшает пигментацию
Oral Care Whitening,Отбеливатель зубов,Осветляет эмаль
Anti-irritant,Против раздражения,Снижает раздражение кожи
Desensitizing Agent,Десенсибилизатор,Снижает чувствительность кожи
Hair Straightening Agent,Разглаживающий агент,Выпрямляет волосы
Curl Retention Agent,Формирователь завитка,Поддерживает завивку волос
Moisture Retainer,Удерживающий влагу,Помогает коже удерживать влагу
Penetration Enhancer,Проводник,Усиливает проникновение активов
Anti-redness Agent,Против покраснений,Снижает покраснение кожи
Sebum Absorber,Поглотитель себума,Убирает жирный блеск
Detoxifying Agent,Детокс-агент,Удаляет токсины
Anti-pollution Agent,Против загрязнений,Защищает кожу от вредных факторов среды
Firming Agent,Укрепляющий агент,Повышает упругость кожи
Elasticity Booster,Эластичный агент,Повышает эластичность кожи
Smoothing Agent,Разглаживающий агент,Делает поверхность кожи более ровной
Protective Agent,Защитный агент,Создаёт защитный барьер
Revitalizing Agent,Восстанавливающий агент,Обновляет и тонизирует кожу
Regenerating Agent,Регенерирующий агент,Стимулирует восстановление кожи
Energizing Agent,Энергетический агент,Придаёт коже свежий вид
Nourishing Agent,Питательный агент,Обеспечивает кожу питательными веществами
Cleansing Agent,Моющее средство,Удаляет загрязнения
Softening Agent,Смягчающий агент,Смягчает кожу или волосы
Toning Agent,Тонизирующий агент,Освежает и укрепляет кожу
Shine Enhancer,Усилитель блеска,Придаёт сияние коже или волосам
Volume Enhancer,Увеличитель объёма,Придаёт объём волосам
Curl Enhancer,Подчёркиватель завитка,Усиливает завиток волос
Heat Protectant,Термозащита,Защищает волосы от повреждений при нагреве
Anti-frizz Agent,Против пушистости,Убирает пушистость волос
Cuticle Conditioner,Уход за кутикулой,Смягчает и питает кутикулу
